,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States2,"111,655","92,637","203,810","65,198","593,308","173,332","95,501","27,179","59,138","437,516","245,570","60,739","56,887","323,468","136,869","76,960","93,047","98,496","85,901","32,076","177,059","153,736","173,337","121,319","72,543","154,226","35,654","43,219","103,599","41,391","208,583","70,144","424,074","248,938","27,685","207,006","102,615","103,111","251,844","37,876","121,524","31,154","160,057","435,107","79,697","20,424","263,767","198,200","48,804","114,724","33,465","2,042,205","83,844"
Alabama,N/A,"1,136",837,"1,450","5,402","2,019",497,116,123,"14,403","20,220","1,034",508,"2,263","2,065",231,496,"3,718","2,353",0,"1,318",601,"2,559",264,"5,473","2,347",0,284,617,250,635,570,"2,283","2,418",0,"4,577","1,218",194,"1,444",0,"2,255",0,"7,770","6,422",599,179,"1,925","1,143","1,162",234,307,"13,279",320
Alaska,603,N/A,"2,049",240,"3,419","2,017",167,56,0,"2,681",535,730,716,159,183,123,380,917,844,131,300,314,140,406,423,"1,706",637,173,160,141,145,217,168,802,144,568,150,"2,034",567,78,910,157,355,"4,549",442,115,684,"4,841",0,459,107,"4,090",118
Arizona,785,"3,140",N/A,"1,180","57,446","9,663",458,500,185,"9,149","4,393","1,911","3,825","11,858","2,431","2,739","2,355","2,366","1,454",762,"2,206","2,039","9,378","4,541",950,"6,000","1,399","1,782","7,013",875,"2,923","8,522","7,309","3,932","1,408","6,908","2,124","6,548","4,292","1,650","1,027","1,508","1,602","16,411","5,118",661,"3,202","13,152",32,"5,948","2,670","48,864",679
Arkansas,"2,145",66,782,N/A,"5,070","1,149",431,0,213,"2,611","2,013",283,0,"3,251",405,696,"1,491",398,"2,844",0,64,49,801,846,"2,962","9,565",232,0,229,0,244,778,"1,326",335,0,711,"8,530",254,816,0,543,0,"4,534","14,398",490,0,"1,250",777,303,822,34,"9,106",148
California,"10,439","7,098","35,200","1,570",N/A,"17,500","5,994","1,067","4,219","25,622","8,669","12,753","7,303","21,441","6,680","3,618","6,836","3,217","4,884",761,"6,996","10,750","11,601","9,449","2,336","7,638","2,862","3,143","29,985","1,119","12,884","4,744","34,201","12,550","1,112","8,267","6,511","21,028","14,858",817,"3,925","2,964","5,620","38,990","14,273","1,041","17,847","32,837",897,"6,451","1,401","318,021","4,317"
Colorado,"1,004","2,696","12,304","1,956","24,506",N/A,832,254,"1,323","9,304","5,057","2,943","1,365","9,081","3,940","4,707","4,780","1,004","2,066",194,"3,091","2,565","2,858","3,673",777,"4,900","2,733","2,896","3,945",369,"2,212","7,069","9,519","4,974","1,059","4,419","6,811","2,064","4,244",0,"1,590","1,570","2,297","24,431","2,926",720,"7,328","8,768",110,"4,068","5,426","33,518",342
Connecticut,275,"2,294",269,0,"3,683",464,N/A,282,212,"6,450","2,232",662,0,"2,059",177,104,0,636,150,"1,898","1,825","8,381",28,858,66,844,0,0,541,"1,296","5,473",0,"21,431","1,368",0,"1,064",260,555,"3,872","4,771",457,93,"1,325","1,696",241,825,"2,847",699,0,83,0,"30,183","4,210"
Delaware,46,462,269,0,160,95,954,N/A,358,752,"1,455",0,0,88,0,0,0,105,0,14,"6,777","1,050",159,484,0,477,0,54,29,483,"4,366",58,"3,673","1,036",0,148,224,7,"5,670",32,418,0,277,737,0,0,806,124,176,143,0,"4,453",272
District of Columbia ,251,92,186,106,"5,206",476,"1,336",290,N/A,"1,745",445,283,229,"1,768",525,96,133,375,689,167,"13,606","1,575",334,414,71,195,84,111,593,154,"2,075",76,"3,562","1,670",44,286,78,130,"2,311",125,389,0,429,"1,311",445,0,"9,920","1,089",213,291,255,"11,432",39
Florida,"15,731","7,883","7,902","1,911","23,239","9,260","12,944","1,401","1,897",N/A,"42,020","2,180",915,"25,095","10,599","3,728","2,879","6,237","5,179","4,293","15,850","15,606","23,791","5,399","5,623","8,481",161,"1,785","4,024","4,248","24,425","1,336","58,753","25,333",730,"27,438","5,296","2,797","28,841","3,816","11,346",693,"13,711","25,175","2,926","2,319","25,342","4,510","3,313","7,735",405,"195,805","27,596"
Georgia,"18,778","3,804","6,629","1,793","13,978","5,629","3,248","1,542",582,"45,495",N/A,"1,528",532,"4,550","2,938",332,"3,031","3,962","3,608",752,"5,247","4,290","7,618","1,288","4,589","2,149",189,"1,033","2,218",216,"4,249","1,586","14,399","14,421",495,"5,675","1,414",571,"7,914",427,"17,776",452,"14,797","17,311",882,206,"10,491","4,161","1,487","3,473",360,"51,497","1,315"
Hawaii,510,"1,049","3,126",0,"12,186","2,286",507,0,900,"3,235","2,876",N/A,286,939,"1,769",475,321,181,526,450,"1,061",160,944,60,370,366,125,268,"1,671",0,593,205,"1,992","1,323",0,504,575,"1,063",682,159,681,0,"1,076","3,834",542,0,"3,137","4,513",0,591,27,"12,120",262
Idaho,166,"2,966","3,506",110,"10,057","2,341",37,37,0,377,162,816,N/A,"1,747",251,343,732,31,125,38,239,41,415,467,141,710,"3,531",120,"2,110",0,66,294,463,"1,004",121,64,"1,011","4,371",359,0,512,409,"1,361","2,598","5,725",529,572,"11,461",0,548,"1,549","5,691",90
Illinois,"1,566","3,205","2,834","1,234","15,669","4,066","1,386",434,"1,138","14,350","4,394",765,795,N/A,"19,221","6,471","2,624","2,403","2,429","1,040","2,313","4,491","11,653","3,934","2,181","15,333","1,186",527,"2,284",24,"2,996",532,"9,781","5,079",572,"8,414","2,739","1,132","6,053",50,"1,857",117,"4,872","12,270",613,355,"3,669","3,065",177,"15,053",190,"68,157","1,185"
Indiana,"1,229",295,"3,894",873,"6,372","1,799",837,62,86,"8,690","2,592",843,146,"38,177",N/A,"2,162",868,"9,486",937,62,"2,271","1,402","9,876",834,530,"1,754",246,216,"1,297",921,"1,116",331,"1,825","3,332",214,"11,584",611,831,"2,000",265,"1,115",598,"3,844","5,011",671,217,"1,687","1,909",30,"3,283",615,"25,063",77
Iowa,641,906,"2,644",957,"3,352","2,461",520,380,79,"1,811","1,067",274,175,"13,612","3,293",N/A,"1,119",190,170,0,389,439,"1,813","8,933",563,"3,247",29,"8,602",258,24,367,607,943,732,500,805,618,676,"2,240",0,243,"1,989",112,"5,164",505,113,"1,015","1,287",161,"2,871",298,"14,379",0
Kansas,830,"1,478","2,115",906,"6,381","3,350",503,0,0,"4,457",485,460,90,"2,618",308,"1,280",N/A,923,"1,947",103,0,550,"1,955","1,599",280,"22,240",604,"2,637","2,101",0,"1,730",609,"1,118","2,053",497,"1,807","6,031",511,606,0,83,201,954,"11,255",732,0,"4,563","2,632",139,440,306,"15,162",113
Kentucky,"1,409",623,"1,443",703,"3,709","2,376",259,139,348,"6,905","4,392",423,473,"5,478","12,431","1,043",913,N/A,"1,251",155,"1,168",390,"2,612",640,571,"2,490",0,525,665,69,757,74,"2,414","3,965",0,"16,715","1,012",375,"1,952",0,335,482,"11,393","5,568",155,144,"1,779","1,547","2,220",194,291,"13,925",84
Louisiana,"4,808",890,967,"2,293","4,079","2,540",716,122,383,"7,182","6,384","1,186",0,"1,961",150,0,"1,013","1,734",N/A,0,"1,013","1,484","1,372",404,"7,926","2,971",396,314,"1,001",291,543,301,"2,061","3,185",167,"2,303","2,385",646,585,123,911,365,"2,479","21,516",445,0,"3,433","1,518",369,648,251,"13,547",60
Maine,0,0,612,0,"2,063",546,"1,470",324,154,"2,694",169,0,67,829,116,198,161,269,"1,014",N/A,365,"6,232",268,237,0,383,64,0,418,"4,100",941,923,"3,505",781,30,304,242,0,"2,269",438,240,63,15,"2,219",854,"1,086",752,832,17,720,81,"5,565",0
Maryland,770,657,"2,018",500,"7,073","1,834","1,784","4,790","17,421","8,637","6,667","2,157",78,"2,076","1,057",476,128,804,"1,343",332,N/A,"4,088","2,437",688,294,"1,117",39,206,521,644,"7,384",388,"14,661","8,842",140,"2,948",335,392,"13,633",865,"2,576",0,787,"5,285",977,301,"21,822","1,244","2,598",754,219,"46,944","1,154"
Massachusetts,519,"1,874","1,011",234,"14,490","3,008","13,287",88,"1,689","9,570","2,718",404,441,"3,199","1,269",681,402,253,531,"3,944","3,344",N/A,"1,817",922,119,"1,058",297,0,384,"11,177","5,381",213,"20,548","3,035",50,"1,436",784,512,"7,067","9,501","1,094",123,"1,085","5,352",624,"2,765","5,948","1,314",221,839,0,"71,031","4,441"
Michigan,"2,362","2,119","6,338",788,"9,754","1,938","1,124",112,411,"11,186","5,007",881,132,"14,603","10,692","1,525","1,118","3,747","1,212",261,"1,425","2,248",N/A,"2,002",797,"2,185",289,455,"1,193",332,"1,774",579,"6,226","3,778",725,"12,829","1,174",443,"3,731",359,"2,444",455,"7,041","9,446",403,35,"3,049","3,049",560,"5,538",117,"48,136",717
Minnesota,392,860,"2,837",570,"9,039","3,451",200,86,70,"3,762","2,539",110,326,"9,734","2,682","5,975",409,308,523,136,378,"1,127","1,901",N/A,913,"1,842",965,881,942,188,749,557,"1,468","1,152","8,587","1,955",505,"1,219","1,665",270,414,"4,339","1,214","3,654",818,95,"1,949","1,930",680,"20,375",42,"29,901",189
Mississippi,"6,816",195,713,"1,462","6,158",656,118,0,56,"7,000","4,594",415,0,"3,500","1,225",247,299,722,"7,162",0,139,536,"2,849",68,N/A,"1,073",457,680,126,157,59,751,"1,086","1,198",0,"1,093",376,148,946,0,"2,005",0,"10,017","5,546",657,0,818,851,447,506,0,"8,199","1,343"
Missouri,"2,807","1,013","3,741","8,043","6,925","2,959",225,0,378,"5,044","3,133",203,"1,092","24,210","4,004","3,502","18,850",881,"2,100",375,"2,050","1,140","2,985","1,394",841,N/A,658,"3,258",942,55,"1,160","1,398","3,116","2,746",890,"2,639","6,677","3,351","2,162",486,"1,617",663,"3,214","11,322","1,151",0,"3,540","1,877",288,"1,506",709,"19,960",776
Montana,134,381,"1,873",288,"5,468","1,899",24,0,0,"1,158",68,674,"1,788",673,685,272,840,124,249,11,156,926,842,739,398,114,N/A,406,709,0,0,352,84,110,"1,090",231,0,"1,953",527,0,0,444,15,"2,169","1,972",178,511,"5,354",0,120,"1,552","2,958",14
Nebraska,510,521,"1,149",166,"2,391","3,727",0,0,0,"2,684","1,317",117,415,"2,717",559,"7,598","3,351",329,405,200,519,857,319,"2,135",0,"1,493",567,N/A,801,0,106,591,932,363,396,543,560,232,"1,066",237,418,"2,704",401,"3,377","1,656",0,"1,536",533,0,537,"1,165","9,180",0
Nevada,475,"2,893","8,488",86,"48,954","3,309",313,234,615,"4,116","2,084","2,210","1,371","3,699",533,"1,404","1,106",649,309,11,871,536,"1,323","1,522",643,"1,011",981,506,N/A,213,"1,206","2,987","2,175","1,079",32,"1,680","1,402","4,032","2,745",41,304,176,"1,945","5,291","5,977",162,"1,332","5,753",493,754,359,"13,407",97
New Hampshire,44,130,146,63,"1,658",260,"3,151",0,82,"2,303",177,0,0,819,0,0,165,309,164,"4,155",357,"14,692",157,0,588,0,0,0,434,N/A,"1,035",0,"2,479",343,523,328,148,247,"1,531",767,78,0,119,83,480,"2,200",846,148,0,184,0,"5,530",456
New Jersey,216,382,"1,074",422,"5,961","1,070","2,269","1,777",965,"10,532","3,884",227,0,"2,167",795,12,502,503,894,133,"3,388","2,956","1,442","1,277",394,179,327,44,226,370,N/A,652,"44,690","4,386",131,"1,520",72,430,"18,958",913,873,0,"1,684","2,885",113,290,"4,814",645,385,"1,082",0,"63,583","4,180"
New Mexico,41,"1,526","8,577",106,"4,986","4,475",307,0,52,"3,064",87,304,594,"2,465","1,201",27,490,65,"1,088",515,982,195,662,577,667,"1,680",691,"1,203","1,163",436,300,N/A,"1,168",636,0,613,"3,394","1,219",942,0,212,145,93,"17,073",297,245,"1,057","1,584",25,996,692,"8,763",588
New York,"1,662","3,180","7,696",611,"22,241","2,148","14,649","1,931","3,323","22,356","6,111","1,294",704,"6,736","1,011",803,"1,047","1,005",825,"1,350","8,078","15,222","3,827","1,221","1,724","2,344",394,55,"2,713","2,179","35,637","1,419",N/A,"12,174",210,"4,766",869,831,"21,930","1,541","4,796",19,"2,957","12,941","2,259","1,933","9,743","3,532",271,"1,983",320,"158,404","4,885"
North Carolina,"4,264","2,467","2,246",571,"16,448","5,108","4,754",812,"1,724","25,532","15,696","2,546",293,"7,134","2,349","1,753","2,627","2,872","1,195","1,715","8,196","3,880","6,339","2,427","1,029","2,572",207,"1,096","1,870","1,202","12,697",930,"26,255",N/A,501,"11,082",685,"1,311","10,594","1,356","26,379",542,"6,397","15,604",655,564,"28,250","4,435","4,987","1,710",675,"45,986","1,276"
North Dakota,402,390,887,192,"1,243","1,018",0,0,19,"1,547",410,348,345,309,147,296,640,322,0,0,0,53,"1,284","13,756",331,"1,364","1,868",490,268,46,42,162,915,18,N/A,843,278,313,"1,185",0,308,"2,452",376,"1,064",330,0,160,"1,181",68,445,944,"3,223",0
Ohio,"1,189","1,455","3,348","1,467","7,793","3,917","1,251",878,670,"14,377","4,924",355,234,"9,076","10,968","1,414","1,060","18,410",605,177,"3,751","1,977","13,480","1,631",994,"3,277",528,339,"1,618","1,404","3,952",987,"7,759","10,004",129,N/A,871,"1,538","18,580",958,"1,717",464,"6,388","8,360",982,56,"6,403","4,084","8,018","2,789",136,"41,952","1,874"
Oklahoma,993,"1,248","3,729","7,333","8,180","4,190",176,83,216,"4,894","1,731",255,233,"1,396","1,793","2,982","8,779",920,"1,126",55,709,420,778,846,850,"6,309",67,534,829,91,639,"1,152","2,187","1,169",626,"1,711",N/A,273,"1,407",117,779,505,"3,079","29,191","1,008",0,985,"3,102",38,"1,164",469,"17,094",359
Oregon,156,"4,211","9,446",570,"35,334","5,446",848,0,271,"1,319","1,142","3,491","4,995","1,514","1,099",509,671,91,"1,054",230,987,"1,335",980,"2,717",0,767,"1,800",414,"3,385",0,705,"2,617","2,117","1,810",947,828,"1,860",N/A,"1,972",161,163,602,371,"7,480","4,149",122,"1,506","21,655",0,"1,276","1,885","23,352",78
Pennsylvania,"1,535","2,361","1,735",549,"9,151","2,615","2,670","5,611","1,636","16,230","4,692",761,362,"3,522","2,555","1,434","1,186","1,746","1,628","1,280","21,776","4,974","5,263","1,521",12,"1,993",847,0,868,550,"39,423",506,"31,145","10,006",220,"10,588",897,794,N/A,"1,187","3,006",403,"3,269","9,027",850,674,"11,541","2,182","4,708","1,257",143,"67,499","7,437"
Rhode Island,347,54,0,0,"1,387",91,"2,180",26,0,"1,723","1,843",89,0,233,98,80,153,251,488,417,557,"10,765",296,428,0,60,0,0,44,"1,007","1,404",0,"3,563","1,426",0,176,64,44,"1,245",N/A,474,0,72,445,0,93,922,76,0,0,0,"7,365",914
South Carolina,"3,219","1,225","2,298",991,"5,826","3,455","4,030",661,649,"12,368","15,496","1,044",996,"2,854","2,923",429,599,"3,312","1,565","1,462","4,291","1,620","4,002","1,111","1,055","1,495",294,323,499,950,"4,226","1,237","11,241","31,188",0,"5,369","1,115",304,"7,637",646,N/A,352,"4,113","6,567",434,249,"8,860","5,453",687,"1,249",0,"19,637","1,325"
South Dakota,0,374,"1,008",23,"1,920","1,388",0,0,0,329,167,0,177,520,489,"2,531",842,161,106,0,130,186,86,"4,321",0,127,990,"1,411",531,80,11,330,697,163,"1,635",490,711,13,36,0,37,N/A,610,882,131,0,"1,453",198,0,541,"2,363","3,030",0
Tennessee,"9,640",837,"2,605","7,625","8,847","2,482",390,427,747,"17,196","15,713",438,288,"8,853","6,087",835,613,"9,157","1,126",207,"2,300","1,753","6,125",962,"8,166","5,513",260,129,681,249,741,596,"5,614","12,148",127,"4,627","2,068",922,"2,555","1,035","6,164",282,N/A,"10,134",216,162,"7,979","2,885","1,943","1,551",130,"27,667",373
Texas,"6,437","8,487","18,001","11,926","63,591","18,277","3,110","1,411","1,266","40,930","19,023","3,871","3,120","23,258","6,235","6,444","11,585","5,990","23,805","1,385","9,291","6,208","12,267","6,946","12,308","11,921",659,"3,343","7,050","1,784","7,015","17,262","21,347","16,934",665,"11,841","25,096","4,772","12,193","1,852","6,569","2,041","15,159",N/A,"4,688",568,"18,454","10,450","2,328","7,762","1,647","217,392","6,274"
Utah,365,"1,302","8,362",119,"14,510","4,111",173,0,395,"2,920","1,139","1,556","7,021","1,227",535,568,193,0,220,162,304,"1,506",629,904,752,"2,174",898,535,"6,612",119,473,"1,621","2,059","1,172",125,"1,893",614,"2,655","1,110",35,944,0,361,"5,780",N/A,138,"2,332","5,274",44,543,"3,750","21,581",280
Vermont,0,225,111,0,"1,222",645,"1,167",16,0,"1,090",152,0,0,224,134,61,39,176,0,538,605,"4,462",181,2,26,67,413,0,47,"2,572",616,105,"2,554",196,32,76,62,252,"1,180",864,197,147,151,462,330,N/A,694,358,155,0,29,"1,498",0
Virginia,"2,654","2,656","3,605",57,"16,013","5,487","2,185",367,"12,511","22,478","8,802","2,729",679,"3,626","2,811",746,"1,859","3,655","2,041","1,043","28,071","4,821","2,608","3,606","1,999","2,856",389,753,"1,251",694,"9,182",525,"16,980","22,191",444,"7,651",918,"1,464","14,296","1,350","5,780",158,"6,832","13,337","2,554",255,N/A,"5,025","8,620","1,716",147,"74,611","1,922"
Washington,"1,640","7,216","8,931","1,406","40,085","6,779","1,400",624,372,"7,190","4,536","4,596","12,825","4,984","1,999","1,943","2,889","1,249","1,203",745,"1,729","2,003","2,276","1,788",485,"2,992","4,294",675,"4,969",91,"2,038","2,461","6,630","4,868",905,"3,496","1,876","26,582","3,117",400,"3,177","1,577",967,"12,528","4,836",690,"6,427",N/A,258,"2,129","1,383","67,123",728
West Virginia,144,"1,797",298,526,"1,552",877,244,185,"1,078","2,815",690,0,0,182,507,0,0,"1,797",128,0,"5,834",150,347,147,184,390,252,0,28,0,"1,072",0,865,"2,579",46,"8,093",208,163,"4,834",0,639,0,619,"1,967",61,9,"6,334",0,N/A,316,0,"3,607",0
Wisconsin,452,473,"2,172",665,"6,428","1,458",376,16,322,"4,337","1,407",518,118,"30,423","2,636","4,054",403,489,47,221,551,691,"5,593","20,758","1,142","2,213",403,584,"1,078",221,816,187,"2,597","2,913",547,"3,100","1,112",599,"1,416",184,"1,739",236,"1,534","5,341","1,215",130,"2,113","1,717",70,N/A,16,"18,286",937
Wyoming,254,45,"1,799",557,"2,703","5,217",0,38,0,916,61,72,835,561,309,13,70,47,289,196,191,0,67,173,0,244,"1,342",429,658,0,0,747,190,18,869,0,44,316,9,0,8,664,364,"1,648","1,290",0,140,"1,446",106,"1,047",N/A,"1,449",0
Puerto Rico,50,150,0,0,552,0,530,0,28,"4,299",228,177,0,111,0,0,0,68,0,0,189,"2,639",55,542,63,99,0,0,0,148,986,0,"2,507",542,0,321,36,69,"3,133",268,0,26,53,"1,255",0,0,258,180,0,209,0,"2,829",N/A3
